model,features,target,type,n_sessions,accuracy_across_sessions_std,accuracy_mean,accuracy_std,f1_macro_across_sessions_std,f1_macro_mean,f1_macro_std,f1_weighted_across_sessions_std,f1_weighted_mean,f1_weighted_std,mae_across_sessions_std,mae_mean,mae_std,r2_across_sessions_std,r2_mean,r2_std,rmse_across_sessions_std,rmse_mean,rmse_std
logistic,combined,MIC_PAO1,classification,5,0.041325240096999546,0.7946245059288538,0.043506643954621005,0.09313183895539057,0.6130298934785727,0.09683217108718156,0.04764907755655098,0.77502021550426,0.05497092753762014,,,,,,,,,
logistic,combined,MIC_PAO1_PA,classification,5,0.013576370291985726,0.7891699604743083,0.04286851402410947,0.03582965230999173,0.5996025827191938,0.11103387585689435,0.016155330619722456,0.7662823145086584,0.05241566102414652,,,,,,,,,
logistic,combined,MIC_SA,classification,5,0.006719367588932843,0.9371541501976285,0.03983537205803987,0.03453442531708487,0.8374111576905696,0.14247369064224402,0.006568515434504018,0.9340591397277052,0.04303342758849156,,,,,,,,,
logistic,composition,MIC_PAO1,classification,5,0.013255552264173829,0.7443478260869565,0.05994523780791957,0.03765534285100922,0.5252096053149183,0.11858170025094142,0.01825646847763343,0.7133838793044679,0.06877494017268472,,,,,,,,,
logistic,composition,MIC_PAO1_PA,classification,5,0.02282142381744018,0.7548616600790513,0.0509305366160563,0.04629415630533437,0.5468514289721512,0.11016176140520448,0.028207913656571236,0.7289670469169123,0.06123855106889089,,,,,,,,,
logistic,composition,MIC_SA,classification,5,0.013021301065146046,0.9389723320158103,0.041560240464950396,0.034536785778688385,0.8470473085767203,0.14021391579274917,0.013254725317784422,0.9334785645638934,0.04676385461571152,,,,,,,,,
logistic,entropy,MIC_PAO1,classification,5,0.022447322035295612,0.8089328063241107,0.03561996501307874,0.049956294431753645,0.63341365078295,0.07580100060236544,0.025096781543175496,0.7881318174906023,0.04965801274698182,,,,,,,,,
logistic,entropy,MIC_PAO1_PA,classification,5,0.02322180640360154,0.8000790513833993,0.049037474364621116,0.05002970252094719,0.61667603004618,0.10823407142880448,0.022516714919061664,0.777655414908707,0.062497632997052785,,,,,,,,,
logistic,entropy,MIC_SA,classification,5,0.006016480254382687,0.9372332015810277,0.042860237729730376,0.03022519678419569,0.8380080714492479,0.15164783747375812,0.006589848039622816,0.9333307176690109,0.04567122460886328,,,,,,,,,
nn,combined,MIC_PAO1,regression,5,,,,,,,,,,0.9864411113824161,38.29096822638508,6.439840089853879,0.06586684281196493,0.004346636838815931,0.19408247487925462,1.501592054013406,54.12191594937984,8.058621080119897
nn,combined,MIC_PAO1_PA,regression,5,,,,,,,,,,1.329749859744909,38.10179535950348,6.486771609172497,0.07132372512919599,0.0018739951342892649,0.22206288641700148,1.6752300316784134,54.08043896925371,8.351585244349533
nn,combined,MIC_SA,regression,5,,,,,,,,,,1.2890609031370568,21.708390569875363,4.015120427559255,0.052512387162665757,0.6120325444504424,0.17658133254874064,2.0018865253911686,33.50151305949436,8.085320355931156
nn,composition,MIC_PAO1,regression,5,,,,,,,,,,1.417551330331189,39.56414189408171,6.082124124743625,0.07569991570978976,-0.04947407133578833,0.2044126748941019,1.7015919712167948,55.538531365969995,8.01361531221454
nn,composition,MIC_PAO1_PA,regression,5,,,,,,,,,,1.1313787905714148,39.19188870872138,6.284244426628316,0.07218226362471708,-0.04138916996584078,0.21537311641360918,1.7156858608398755,55.340907907004315,8.471175734947291
nn,composition,MIC_SA,regression,5,,,,,,,,,,0.6361544879495706,25.303341660933064,4.019549360144255,0.019364936121128922,0.567033950766222,0.15773653849093347,0.6170453749502407,35.78772016717581,6.957525707391506
nn,entropy,MIC_PAO1,regression,5,,,,,,,,,,0.9758611796082489,38.15411090366206,6.440787139627285,0.04615357994523509,0.016163101024540365,0.18516781333147897,1.001036061963296,53.78092080929705,7.782803633698457
nn,entropy,MIC_PAO1_PA,regression,5,,,,,,,,,,0.6848882894427523,38.206140716247276,6.779321460718745,0.046459769718018726,0.00876088993550336,0.20099333974022734,1.0280135275035858,53.99892384108019,8.028315120623358
nn,entropy,MIC_SA,regression,5,,,,,,,,,,1.748196634165667,20.934744030496347,4.114217950343837,0.06543794571453768,0.5889495745390727,0.19841706081151989,2.280059125122644,34.38714907577443,8.53559896600279
ridge,combined,MIC_PAO1,regression,5,,,,,,,,,,1.7432212331370773,36.35145071556077,6.659915814315826,0.06241256436384268,-0.050555490839520066,0.21632417473339777,1.6595374230802902,55.548781825367726,8.075171036265496
ridge,combined,MIC_PAO1_PA,regression,5,,,,,,,,,,1.3908470420690786,35.966232293632785,6.408110323194945,0.05114981125683613,-0.02088112809246513,0.25715399281312035,1.6938117045031917,54.590523173107044,8.698477179717353
ridge,combined,MIC_SA,regression,5,,,,,,,,,,0.8517799485528224,16.67956278052669,3.1689082333224983,0.01922877513982216,0.7244275740809442,0.1442752423848921,0.4896956742401082,27.99278512455168,7.472627104474045
ridge,composition,MIC_PAO1,regression,5,,,,,,,,,,1.390988461650196,36.67456065255371,8.025913942207435,0.05956362354953677,-0.13049966686555453,0.28147268365567996,1.7683197584964108,57.616101108067504,10.927278552621626
ridge,composition,MIC_PAO1_PA,regression,5,,,,,,,,,,0.9879680498817044,36.39715233347776,7.0487970564275715,0.05884397427215581,-0.12587146529010868,0.2376127513789609,1.4898029604507201,57.52683952514671,8.988901905724832
ridge,composition,MIC_SA,regression,5,,,,,,,,,,0.5311932493537141,19.965005341891526,3.579705881718629,0.024835162208314537,0.6840573297984921,0.10979999864797989,1.1323703630422601,30.61157892059084,5.958490263561404
ridge,entropy,MIC_PAO1,regression,5,,,,,,,,,,1.1055021789266741,36.499089473046475,7.654062285812321,0.11111338531541944,-0.07855267468133689,0.34323792381397006,2.348031512432644,56.03726371365546,11.65532351062335
ridge,entropy,MIC_PAO1_PA,regression,5,,,,,,,,,,0.782942248341459,36.82017341507486,6.623620080820549,0.0633389449681229,-0.05870000864325201,0.25164234624342424,1.9738909417286825,55.595603623021894,8.648886964812435
ridge,entropy,MIC_SA,regression,5,,,,,,,,,,0.6569910963731461,16.860707195766317,3.9349490539055374,0.014790434356154666,0.7015864504832424,0.15043997370153858,0.6290179262630498,29.24036952704816,7.77437329929605
xgboost,combined,MIC_PAO1,regression,5,,,,,,,,,,1.4074625772203913,29.82948238756871,7.022321454596664,0.11077803716850484,0.1175663334105194,0.20932467923801257,3.6126576584622256,50.55046927659271,8.636255637496395
xgboost,combined,MIC_PAO1_PA,regression,5,,,,,,,,,,1.1217617593286082,28.56100452988098,6.540167271711584,0.05019659555365809,0.1305343734219379,0.3275684982747622,1.4525727873753322,49.70068812932392,10.811538826245044
xgboost,combined,MIC_SA,regression,5,,,,,,,,,,2.4210753823112188,14.636595712292337,5.189518529926792,0.047581874662520486,0.7071745457470978,0.1609575139857687,2.0241150166984445,28.553524458755042,9.025270930023176
xgboost,composition,MIC_PAO1,regression,5,,,,,,,,,,1.5069510401420958,33.65735389365515,7.62380469773359,0.10523045224993811,-0.11896296681271043,0.22976123250866337,2.7064114770226255,57.36952271849874,8.413759480108677
xgboost,composition,MIC_PAO1_PA,regression,5,,,,,,,,,,0.8599373842596987,33.002408170313764,8.170566461957442,0.03784263539807938,-0.07140985080955134,0.19045308615147066,1.012785235732955,56.277596328437085,8.428258121835182
xgboost,composition,MIC_SA,regression,5,,,,,,,,,,0.9814379572978366,15.907385731572688,5.2566572685712245,0.015980619334667184,0.6869481034077148,0.15820568672619184,1.644814105007249,29.505023902357415,8.474164881043382
xgboost,entropy,MIC_PAO1,regression,5,,,,,,,,,,0.9349635106771491,29.88809468796137,6.910489891526612,0.0928988087640936,0.08574268834489251,0.2782568159833789,2.151164274823329,51.24370569607132,9.701075521018986
xgboost,entropy,MIC_PAO1_PA,regression,5,,,,,,,,,,0.5210368145048704,28.249177590435274,6.8904176322979,0.08867345748361871,0.1831298228596143,0.26138305431757886,1.7918990269520196,48.70444597140783,10.219435483731399
xgboost,entropy,MIC_SA,regression,5,,,,,,,,,,1.355926468957053,14.86717950089647,5.222628994286326,0.041994139655960466,0.7029263819403966,0.14886727427720575,1.8021798718759037,29.055790278291546,8.140885607829839
